ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
kori_0001,mcnafsan,Ana katraus natrauswen ni Egun.,#	ZERO	a=	na	#	ZERO	ka=	traus	natrauswen	ni	Egun,#	ZERO	1S.RS=	want	#	ZERO	1S.IRS=	tell	story	of	p.name,I want to tell a story about Nguna.,en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,605,2930,##	0.1:a	=lv	v:pred	#cc:p	0.1:a	=lv	v:pred	np:p	rn	rn_pn_np:poss,,kori,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	101,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	101,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new
kori_0002,mcnafsan,"Egun nrak pei, ipitlak natam̃ol kin naur Egun, nen Peter Milne ipakes pa.",#	Egun	nrak	pei	i=	piatlak	natam̃ol	kin	naur	Egun	nen	#	Peter	Milne	i=	pak	-wes	pa,#	p.name	time	first	3S.RS=	have	person	REL	island	p.name	that	#	p.name	p.name	3S.RS=	go_to	-3S.OBL	go,"On Nguna before, there was one of these men on Nguna island, where Peter Milne went to.",en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,2930,9882,##	pn_np:dt	np:other	rn	=lv	v:predex	np.h:s	other	np:dt_l	rn_pn_np	rn	##	pn_np.h:s	rn	=lv	v:pred	-pro:l	rv,,kori,∅	101	∅	∅	∅	∅	∅	∅	101	101	∅	∅	∅	∅	∅	∅	101	∅,∅	101	∅	∅	∅	∅	∅	∅	101	101	∅	∅	∅	∅	∅	∅	101	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
kori_0003,mcnafsan,"Ipitlak natam̃ol, me ipitlak ntwam iskei ito. Me ito fam. Natrauswen tilm̃ori nen kineu ato trausi. Akano traus natrauswen psir.",#	i=	piatlak	natam̃ol	#	me	i=	piatlak	ntwam	i=	skei	#	ZERO	i=	to	#	me	ZERO	i=	to	fam	#	natrauswen	tilm̃ori	#	nen	kineu	a=	to	traus-i	ZERO	#	ZERO	a=	kano	traus	natrauswen	psir,#	3S.RS=	have	person	#	and	3S.RS=	have	devil	3S.RS=	one	#	ZERO	3S.RS=	stay	#	and	ZERO	3S.RS=	PROG	eat:IR	#	story	tell.truth	#	REL	1S.	1S.RS=	PROG	tell-TS	ZERO	#	ZERO	1S.RS=	unable	tell	story	lie,There were people and there was a devil there. It used to eat. This is a true story I am telling. I cannot tell a false story.,en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,9882,19587,##	=lv	v:predex	np.h:s	##	other	=lv	v:predex	np.d:s	=rn	rn_np	##	0.d:s	=lv	v:pred	##	other	0.d:s	=lv	lv	v:pred	##	np:pred	rn	#rc:s	other	pro.1:a	=lv	lv	v:pred	0:p	##neg	0.1:a	=lv	lv	v:pred	np:p	rn_np,,kori,∅	∅	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	102	∅	∅	∅	∅	102	∅	∅	∅	∅	103	∅	∅	∅	∅	∅	∅	∅	103	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	102	∅	∅	∅	∅	102	∅	∅	∅	∅	103	∅	∅	∅	∅	∅	∅	∅	103	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	unused	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
kori_0004,mcnafsan,"Nfaag ntwam nen ito fam. Ito fam pan me, ipan na kefam nmatu iskei, me nmatu nen itrau fag.",#	nfaag	ntwam	nen	i=	to	fam	#	ZERO	i=	to	fam	pan	#	me	ZERO	i=	pan	#	na	ZERO	ke=	fam	nmatu	i=	skei	#	me	nmatu	nen	i=	trau	fag,#	parable	devil	that	3S.RS=	HABIT	eat:IR	#	ZERO	3S.RS=	HABIT	eat:IR	until	#	and	ZERO	3S.RS=	go	#	PURP	ZERO	3S.IRS=	eat:IR	woman	3S.RS=	one	#	but	woman	that	3S.RS=	really	scabby,"The story of the devil who ate. He ate until he wanted to eat this woman, but she had sores on her body.",en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,19587,27348,##	np:dt	np.d:s	rn	=lv	lv	v:pred	##	0.d:s	=lv	lv	v:pred	other	##	other	0.d:s	=lv	v:pred	#ac	other	0.d:a	=lv	v:pred	np.h:p	=rn	rn_np	##	other	np.h:s	rn	=lv	lv	v:pred,,kori,∅	103	102	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	102	∅	∅	104	∅	∅	∅	∅	104	∅	∅	∅	∅,∅	103	102	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	102	∅	∅	104	∅	∅	∅	∅	104	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅
kori_0005,mcnafsan,"Ipitlak nfag nam̃olin Ina, ""O, me ag kufag ag p̃afo pi temlaap kafei pam tenen kin aleka na naskon imalmal wi, kin me kafo inrok mai pamik.""",#	ZERO	i=	piatlak	nfag	nam̃ol-i	-n	#	ZERO	i=	na	#	o	me	ag	ku=	fag	#	ag	p̃a=	fo	pi	temlaap	#	ZERO	ka=	fei	pam	te-nen	#	kin	ZERO	a=	lek-a	na	nasok-o	-n	#	ZERO	i=	malmal	wi	#	kin	me	ZERO	ka=	fo	inrok	mai	pam-i	-k,#	ZERO	3S.RS=	have	sore	body-V	-3S.DP	#	ZERO	3S.RS=	say	#	O	but	2S.	2S.RS=	scabby	#	2S.	2S.IRS=	PSP:IR	be	last	#	ZERO	1S.IRS=	lead:IR	eat	DET-that	#	REL	ZERO	1S.RS=	look-TS	DET	skin-V	-3S.DP	#	ZERO	3S.RS=	clean	good	#	SUB	and	ZERO	1S.IRS=	PSP:IR	behind	come	eat-TS	-2S.O,"She had sores all over her body. He said, ""Oh but you have sores, you will be the last, I will eat the ones whose skin I see is clean and then I will come and eat you.""",en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,27348,39229,##	0.h:a	=lv	v:predex	np:p	rn_np	-rn_pro.h:poss	##	0.d:s_ds	=lv	v:pred	#ds	nc	other	pro.2:s	=lv	v:pred	##ds	pro.2:s	=lv	lv	cop	np:pred	##ds	0.1:a	=lv	lv	v:pred	np.h:p	#rc_rn	other	0.1:a	=lv	v:pred	ln	np:dt_p	-rn_pro.h:poss	##ds	0:s	=lv	v:pred	rv	#ds_ac	other	other	0.1:a	=lv	lv	lv	lv	v:pred	-pro.2:p,,kori,∅	104	∅	∅	105	∅	104	∅	102	∅	∅	∅	∅	∅	104	∅	∅	∅	104	∅	∅	∅	104	∅	102	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	106	∅	∅	106	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	∅	104,∅	104	∅	∅	105	∅	104	∅	102	∅	∅	∅	∅	∅	104	∅	∅	∅	104	∅	∅	∅	104	∅	102	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	106	∅	∅	106	∅	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	∅	104,∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
kori_0006,mcnafsan,"Me nmatu nen ito. Ito me kipe mtaki maarik ntwam ne. Ito pan pan, ntwam ito gohed fam ito fam, ito fam.",#	me	nmatu	nen	i=	to	#	ZERO	i=	to	#	me	ZERO	ki=	pe	mtak-ki	maarik	ntwam	ne	#	ZERO	i=	to	pan	pan	#	ntwam	i=	to	gohed	fam	#	ZERO	i=	to	fam	#	ZERO	i=	to	fam,#	but	woman	that	3S.RS=	stay	#	ZERO	3S.RS=	stay	#	and	ZERO	3S.PS=	PF	fear-TR	mister	devil	this	#	ZERO	3S.RS=	stay	until	until	#	devil	3S.RS=	PROG	go_on:BI	eat:IR	#	ZERO	3S.RS=	PROG	eat:IR	#	ZERO	3S.RS=	PROG	eat:IR,But the woman stayed. She was scared of the devil. She stayed and the devil kept eating and eating.,en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,39229,49630,##	other	np.h:s	rn	=lv	v:pred	##	0.h:s	=lv	v:pred	##	other	0.h:a	=lv	lv	v:pred	ln	np.d:p	rn	##	0.h:s	=lv	v:pred	other	other	##	np.d:s	=lv	lv	lv	v:pred	##	0.d:a	=lv	lv	v:pred	##	0.d:s	=lv	lv	v:pred,,kori,∅	∅	104	∅	∅	∅	∅	104	∅	∅	∅	∅	104	∅	∅	∅	∅	102	∅	∅	104	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	102	∅	∅	∅,∅	∅	104	∅	∅	∅	∅	104	∅	∅	∅	∅	104	∅	∅	∅	∅	102	∅	∅	104	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	∅	102	∅	∅	∅	∅	102	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
kori_0007,mcnafsan,"Nmatu nen ito pan imtak me ipitlak kori sees iskei. Inrik kori sees ga nen kin na, ""Taksef"". Rapa raru me rasef. Ramai mai rapalus mai, mai, mai mai mai.",#	nmatu	nen	i=	to	pan	#	ZERO	i=	mtak	#	me	ZERO	i=	piatlak	kori	sees	i=	skei	#	ZERO	i=	nrik	kori	sees	ga	nen	#	kin	na	ZERO	tak=	sef	#	ZERO	ra=	pa	raru	#	me	ZERO	ra=	sef	#	ZERO	ra=	mai	mai	#	ZERO	ra=	palus	mai	mai	mai	mai	mai,#	woman	that	3S.RS=	PROG	go	#	ZERO	3S.RS=	fear	#	and	ZERO	3S.RS=	have	dog	small	3S.RS=	one	#	ZERO	3S.RS=	tell	dog	small	3S.POS	that	#	SUB	SUB	ZERO	1D.incIRS=	escape	#	ZERO	3D.RS=	drive	canoe	#	and	ZERO	3D.RS=	escape	#	ZERO	3D.RS=	come	come	#	ZERO	3D.RS=	paddle	come	come	come	come	come,"The woman was scared and she had a little dog. She said to her dog, ""Let's escape."" They took a canoe and escaped. They came, they paddled and came and came.",en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,49630,61535,##	np.h:s	rn	=lv	lv	v:pred	##	0.h:s	=lv	v:pred	##	other	0.h:a	=lv	v:predex	np:p	rn	=rn	rn_np	##	0.h:a	=lv	v:pred	np:p	rn	rn_pro.h:poss	rn	#ds	other	other	0.1:s	=lv	v:pred	##	0.h:a	=lv	v:pred	np:p	##	other	0.h:s	=lv	v:pred	##	0.h:s	=lv	v:pred	rv	##	0.h:s	=lv	v:pred	rv	nc	nc	nc	nc,,kori,∅	104	∅	∅	∅	∅	∅	104	∅	∅	∅	∅	104	∅	∅	107	∅	∅	∅	∅	104	∅	∅	107	∅	104	∅	∅	∅	∅	108	∅	∅	∅	108	∅	∅	∅	∅	∅	108	∅	∅	∅	108	∅	∅	∅	∅	108	∅	∅	∅	∅	∅	∅	∅,∅	104	∅	∅	∅	∅	∅	104	∅	∅	∅	∅	104	∅	∅	107	∅	∅	∅	∅	104	∅	∅	107	∅	104	∅	∅	∅	∅	108	∅	∅	∅	108	∅	∅	∅	∅	∅	108	∅	∅	∅	108	∅	∅	∅	∅	108	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
kori_0008,mcnafsan,Ramaos. Rato sal namos. Raimer palus pan ramai sak esan rusoso ki Krikai. Rasak Krikai. Rasak pak elag ntaf.,#	ZERO	ra=	maos	#	ZERO	ra=	to	sal	namos	#	ZERO	rai=	mer	palus	pan	#	ZERO	ra=	mai	sak	esa	=n	#	ZERO	ru=	sos-o	ZERO	ki	Krikai	#	ZERO	ra=	sak	Krikai	#	ZERO	ra=	sak	pak	elag	ntaf,#	ZERO	3D.RS=	tired	#	ZERO	3D.RS=	PROG	float	ocean	#	ZERO	3D.PS=	again	paddle	until	#	ZERO	3D.RS=	come	land	place	=DST	#	ZERO	3P.RS=	call-TS	ZERO	PREP	p.name	#	ZERO	3D.RS=	land	p.name	#	ZERO	3D.RS=	land	to	high	hill,They were tired. They drifted on the ocean. They paddled some more until they landed at Krikai. They landed at Krikai. They climbed to the top of the hill.,en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,61535,71023,##	0.h:s	=lv	v:pred	##	0.h:s	=lv	lv	v:pred	np:l	##	0.h:s	=lv	lv	v:pred	other	##	0.h:s	=lv	lv	v:pred	np:g	=rn	##	0.h:a	=lv	v:pred	0:p	adp	pn_np:other	##	0.h:s	=lv	v:pred	pn_np:g	##	0.h:s	=lv	v:pred	adp	ln_np	np:l,,kori,∅	108	∅	∅	∅	108	∅	∅	∅	124	∅	108	∅	∅	∅	∅	∅	108	∅	∅	∅	109	∅	∅	108	∅	∅	109	∅	110	∅	108	∅	∅	109	∅	108	∅	∅	∅	∅	111,∅	108	∅	∅	∅	108	∅	∅	∅	124	∅	108	∅	∅	∅	∅	∅	108	∅	∅	∅	109	∅	∅	108	∅	∅	109	∅	110	∅	108	∅	∅	109	∅	108	∅	∅	∅	∅	111,∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new
kori_0009,mcnafsan,"Rasak pak elag ntaf, rato ntaf to. Me rato panpan go nmatu nen ito pan pan me ipitlak teesa iskei.",#	ZERO	ra=	sak	pak	elag	ntaf	#	ZERO	ra=	to	ntaf	to	#	me	ZERO	ra=	to	panpan	#	go	nmatu	nen	i=	to	pan	pan	#	me	ZERO	i=	piatlak	teesa	i=	skei,#	ZERO	3D.RS=	land	to	high	hill	#	ZERO	3D.RS=	stay	hill	stay	#	and	ZERO	3D.RS=	stay	until	#	and	woman	that	3S.RS=	stay	until	until	#	and	ZERO	3S.RS=	have	child	3S.RS=	one,"They climbed up the hill, and stayed on the hill. They were there and the woman had a baby.",en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,71023,79400,##	0.h:s	=lv	v:pred	adp	ln	np:g	##	0.h:s	=lv	v:pred	np:l	nc	##	other	0.h:s	=lv	v:pred	other	##	other	np.h:s	rn	=lv	v:pred	other	other	##	other	0.h:a	=lv	v:predex	np.h:p	=rn	rn_np,,kori,∅	108	∅	∅	∅	∅	111	∅	108	∅	∅	111	∅	∅	∅	108	∅	∅	∅	∅	∅	104	∅	∅	∅	∅	∅	∅	∅	104	∅	∅	112	∅	∅,∅	108	∅	∅	∅	∅	111	∅	108	∅	∅	111	∅	∅	∅	108	∅	∅	∅	∅	∅	104	∅	∅	∅	∅	∅	∅	∅	104	∅	∅	112	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅
kori_0010,mcnafsan,Ipitlak teesa me teesa nanwei. Rana ratkos to panpan go teesa ga nen kito to me plakori ga nen ruto. Teesa ga nen ito to pan panpan kaipi natam̃ol.,#	ZERO	i=	piatlak	teesa	me	teesa	nanwei	#	ZERO	ra=	na	#	ZERO	ra=	tok	-wes	to	panpan	#	go	teesa	ga	nen	ki=	to	to	#	me	plakori	ga	nen	ru=	to	#	teesa	ga	nen	i=	to	to	pan	panpan	#	ZERO	kai=	pi	natam̃ol,#	ZERO	3S.RS=	have	child	and	child	male	#	ZERO	3D.RS=	want	#	ZERO	3D.RS=	stay	-3S.OBL	stay	until	#	and	child	3S.POS	that	3S.PS=	HAB	stay	#	and	hunt.dog	3S.POS	that	3P.RS=	stay	#	child	3S.POS	that	3S.RS=	HAB	stay	until	until	#	ZERO	ES=	be	person,"She had a boy. This boy and this dog, they stayed, then the child became a grownup.",en,MORPHEME_ALIGNED,,kori_mp3 kori_wav kori_eaf kori_xml kori_tsv,,79400,91860,##	0.h:a	=lv	v:predex	nc	nc	np.h:p	rn_np	##	0.h:a	=lv	v:pred	#cc:p	0.h:s	=lv	v:pred	-pro:l	rv	other	##	other	np.h:s	rn_pro.h:poss	rn	=lv	lv	v:pred	##	other	np:s	rn_pro.h:poss	rn	=lv	v:pred	##	np.h:s	rn_pro.h:poss	rn	=lv	lv	v:pred	other	other	##	es_f0.h:s	=lv	cop	np.h:pred,,kori,∅	104	∅	∅	∅	∅	112	∅	∅	∅	∅	∅	∅	113	∅	∅	109	∅	∅	∅	∅	112	104	∅	∅	∅	∅	∅	∅	107	104	∅	∅	∅	∅	112	104	∅	∅	∅	∅	∅	∅	∅	112	∅	∅	112,∅	104	∅	∅	∅	∅	112	∅	∅	∅	∅	∅	∅	113	∅	∅	109	∅	∅	∅	∅	112	104	∅	∅	∅	∅	∅	∅	107	104	∅	∅	∅	∅	112	104	∅	∅	∅	∅	∅	∅	∅	112	∅	∅	112,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
